model,dataset,seed,best_epoch,best_metric,training_time,recall@10,ndcg@10,precision@10,recall@20,ndcg@20,precision@20,recall@50,ndcg@50,precision@50,coverage
bpr_mf,movie_lens,42,260,0.03167362912697026,247.29157400131226,0.023244075514505337,0.1824201016562891,0.17360000000000003,0.03880563231232257,0.16804549512303651,0.15480000000000002,0.07864949072997526,0.160167755656553,0.13408000000000003,0.19391802556192156
bpr_mf,book_crossing,42,130,0.0024794818206140333,1451.6023252010345,0.0015096608226101717,0.0017107739799883562,0.001201345506967804,0.0028086692369194755,0.0020460856626989487,0.0010571840461316676,0.00668393152354481,0.0031479205495263027,0.0010072080730418069,0.19340918007061592
lightgcn,movie_lens,42,20,0.009215809879508074,184.01458430290222,0.005902994645368766,0.057439443147411985,0.06639999999999999,0.007577637640894267,0.04164156612726364,0.046799999999999994,0.018477465775614103,0.0633997901565001,0.04479999999999999,0.0123402379903041
lightgcn,book_crossing,42,1,0.0008197556324604479,862.054488658905,0.0005163481867847261,0.0006064028784950756,0.0003652090341182124,0.0016412049590675316,0.001052409365533407,0.00035559827006247,0.0030684056847729156,0.0012165429525913185,0.00041326285439692454,0.0009153916568588989
gcnii,movie_lens,42,1,0.005526956486377758,171.8289361000061,0.005902994645368766,0.057439443147411985,0.06639999999999999,0.007577637640894267,0.04164156612726364,0.046799999999999994,0.018477465775614103,0.0633997901565001,0.04479999999999999,0.0123402379903041
gcnii,book_crossing,42,1,0.0010665523996789819,895.3176035881042,0.0005163481867847261,0.0006064028784950756,0.0003652090341182124,0.0016412049590675316,0.001052409365533407,0.00035559827006247,0.0030684056847729156,0.0012165429525913185,0.00041326285439692454,0.0009153916568588989
dgr,movie_lens,42,1,0.01846345245214939,172.65285420417786,0.005902994645368766,0.057439443147411985,0.06639999999999999,0.007577637640894267,0.04164156612726364,0.046799999999999994,0.018477465775614103,0.0633997901565001,0.04479999999999999,0.0123402379903041
dgr,book_crossing,42,1,0.0010305715114667143,903.597069978714,0.0005163481867847261,0.0006064028784950756,0.0003652090341182124,0.0016412049590675316,0.001052409365533407,0.00035559827006247,0.0030684056847729156,0.0012165429525913185,0.00041326285439692454,0.0009153916568588989
svd_gcn,movie_lens,42,10,0.00734995730048763,180.8258044719696,0.005902994645368766,0.057439443147411985,0.06639999999999999,0.007577637640894267,0.04164156612726364,0.046799999999999994,0.018477465775614103,0.0633997901565001,0.04479999999999999,0.0123402379903041
layergcn,movie_lens,42,1,0.005715221288663579,178.15483283996582,0.005902994645368766,0.057439443147411985,0.06639999999999999,0.007577637640894267,0.04164156612726364,0.046799999999999994,0.018477465775614103,0.0633997901565001,0.04479999999999999,0.0123402379903041
layergcn,book_crossing,42,1,0.0007712631869722128,1139.5890560150146,0.0005163481867847261,0.0006064028784950756,0.0003652090341182124,0.0016412049590675316,0.001052409365533407,0.00035559827006247,0.0030684056847729156,0.0012165429525913185,0.00041326285439692454,0.0009153916568588989
groupshuffle_gnn,movie_lens,42,20,0.011687900712978145,246.58731698989868,0.005902994645368766,0.057439443147411985,0.06639999999999999,0.007577637640894267,0.04164156612726364,0.046799999999999994,0.018477465775614103,0.0633997901565001,0.04479999999999999,0.0123402379903041
groupshuffle_gnn,book_crossing,42,10,0.0008039332296221075,1324.6498539447784,0.0005163481867847261,0.0006064028784950756,0.0003652090341182124,0.0016412049590675316,0.001052409365533407,0.00035559827006247,0.0030684056847729156,0.0012165429525913185,0.00041326285439692454,0.0009153916568588989
